From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P49960	P49960	reviewed	PRP24_YEAST	U4/U6 snRNA-associated-splicing factor PRP24 (U4/U6 snRNP protein)	PRP24 YMR268C YM8156.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444
P83369	P83369	reviewed	LSM11_HUMAN	U7 snRNA-associated Sm-like protein LSm11	LSM11	Homo sapiens (Human)	360
Q969L4	Q969L4	reviewed	LSM10_HUMAN	U7 snRNA-associated Sm-like protein LSm10	LSM10	Homo sapiens (Human)	123
Q14493	Q14493	reviewed	SLBP_HUMAN	Histone RNA hairpin-binding protein (Histone stem-loop-binding protein)	SLBP HBP	Homo sapiens (Human)	270
Q9NY12	Q9NY12	reviewed	GAR1_HUMAN	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	GAR1 NOLA1	Homo sapiens (Human)	217
M0R1H0	M0R1H0	unreviewed	M0R1H0_HUMAN	Fibrillarin (rRNA 2'-O-methyltransferase fibrillarin)	FBL	Homo sapiens (Human)	178
Q9ULV3	Q9ULV3	reviewed	CIZ1_HUMAN	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	CIZ1 LSFR1 NP94 ZNF356	Homo sapiens (Human)	898
Q501J6	Q501J6	reviewed	DDX17_MOUSE	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17)	Ddx17	Mus musculus (Mouse)	650
Q8VDW0	Q8VDW0	reviewed	DX39A_MOUSE	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39)	Ddx39a Ddx39	Mus musculus (Mouse)	427
Q9Z1N5	Q9Z1N5	reviewed	DX39B_MOUSE	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	Ddx39b Bat1 Bat1a Uap56	Mus musculus (Mouse)	428
Q91VC3	Q91VC3	reviewed	IF4A3_MOUSE	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	Eif4a3 Ddx48	Mus musculus (Mouse)	411
O88569	O88569	reviewed	ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	Hnrnpa2b1 Hnrpa2b1	Mus musculus (Mouse)	353
H7C1J8	H7C1J8	unreviewed	H7C1J8_HUMAN	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	Homo sapiens (Human)	115
D6RD18	D6RD18	unreviewed	D6RD18_HUMAN	Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB	Homo sapiens (Human)	283
H0YA96	H0YA96	unreviewed	H0YA96_HUMAN	Heterogeneous nuclear ribonucleoprotein D	HNRNPD	Homo sapiens (Human)	210
Q6NTA2	Q6NTA2	unreviewed	Q6NTA2_HUMAN	HNRNPL protein	HNRNPL	Homo sapiens (Human)	572
B4DT28	B4DT28	unreviewed	B4DT28_HUMAN	Heterogeneous nuclear ribonucleoprotein R (Heterogeneous nuclear ribonucleoprotein R, isoform CRA_a) (cDNA FLJ54544, highly similar to Heterogeneous nuclear ribonucleoprotein R)	HNRNPR HNRPR hCG_38907	Homo sapiens (Human)	494
Q921F4	Q921F4	reviewed	HNRLL_MOUSE	Heterogeneous nuclear ribonucleoprotein L-like	Hnrnpll Hnrpll	Mus musculus (Mouse)	591
F8WD15	F8WD15	unreviewed	F8WD15_HUMAN	Insulin like growth factor 2 mRNA binding protein 3	IGF2BP3	Homo sapiens (Human)	81
Q60749	Q60749	reviewed	KHDR1_MOUSE	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	Khdrbs1	Mus musculus (Mouse)	443
Q3U0V1	Q3U0V1	reviewed	FUBP2_MOUSE	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP)	Khsrp Fubp2	Mus musculus (Mouse)	748
Q587J6	Q587J6	reviewed	LITD1_MOUSE	LINE-1 type transposase domain-containing protein 1 (ES cell-associated protein 11)	L1td1 Ecat11	Mus musculus (Mouse)	782
Q8K3Y3	Q8K3Y3	reviewed	LN28A_MOUSE	Protein lin-28 homolog A (Lin-28A) (Testis-expressed protein 17)	Lin28a Lin28 Tex17	Mus musculus (Mouse)	209
Q7TPV4	Q7TPV4	reviewed	MBB1A_MOUSE	Myb-binding protein 1A (Myb-binding protein of 160 kDa)	Mybbp1a P160	Mus musculus (Mouse)	1344
Q8C854	Q8C854	reviewed	MYEF2_MOUSE	Myelin expression factor 2 (MEF-2) (MyEF-2)	Myef2 Kiaa1341 Mef2	Mus musculus (Mouse)	591
Q86SE9	Q86SE9	reviewed	PCGF5_HUMAN	Polycomb group RING finger protein 5 (RING finger protein 159)	PCGF5 RNF159	Homo sapiens (Human)	256
Q8BG81	Q8BG81	reviewed	PDIP3_MOUSE	Polymerase delta-interacting protein 3 (S6K1 Aly/REF-like target) (SKAR)	Poldip3	Mus musculus (Mouse)	420
Q91Z31	Q91Z31	reviewed	PTBP2_MOUSE	Polypyrimidine tract-binding protein 2 (Brain-enriched polypyrimidine tract-binding protein) (Brain-enriched PTB) (Neural polypyrimidine tract-binding protein) (RRM-type RNA-binding protein brPTB)	Ptbp2 Brptb Nptb	Mus musculus (Mouse)	531
B0QYV1	B0QYV1	unreviewed	B0QYV1_HUMAN	RNA binding protein fox-1 homolog 2	RBFOX2	Homo sapiens (Human)	357
O89086	O89086	reviewed	RBM3_MOUSE	RNA-binding protein 3 (RNA-binding motif protein 3)	Rbm3	Mus musculus (Mouse)	153
Q91VM5	Q91VM5	reviewed	RMXL1_MOUSE	RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1) (RNA binding motif protein, X chromosome retrogene)	Rbmxl1 Rbmxrt	Mus musculus (Mouse)	388
Q5DTM8	Q5DTM8	reviewed	BRE1A_MOUSE	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	Rnf20 Bre1a Kiaa4116	Mus musculus (Mouse)	973
Q05D80	Q05D80	unreviewed	Q05D80_HUMAN	mRNA (guanine-N(7))-methyltransferase (EC 2.1.1.56) (RG7MT1)	RNMT	Homo sapiens (Human)	410
Q8N488	Q8N488	reviewed	RYBP_HUMAN	RING1 and YY1-binding protein (Apoptin-associating protein 1) (APAP-1) (Death effector domain-associated factor) (DED-associated factor) (YY1 and E4TF1-associated factor 1)	RYBP DEDAF YEAF1	Homo sapiens (Human)	228
D3YXK2	D3YXK2	reviewed	SAFB1_MOUSE	Scaffold attachment factor B1 (SAF-B1)	Safb Safb1	Mus musculus (Mouse)	937
Q62504	Q62504	reviewed	MINT_MOUSE	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Spen Kiaa0929 Mint Sharp	Mus musculus (Mouse)	3644
Q9R0U0	Q9R0U0	reviewed	SRS10_MOUSE	Serine/arginine-rich splicing factor 10 (FUS-interacting serine-arginine-rich protein 1) (Neural-salient serine/arginine-rich protein) (Neural-specific SR protein) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	Srsf10 Fusip1 Nssr Sfrs13a Srsf13a	Mus musculus (Mouse)	262
O08583	O08583	reviewed	THOC4_MOUSE	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (REF1-I) (RNA and export factor-binding protein 1) (Transcriptional coactivator Aly/REF)	Alyref Aly Ref1 Refbp1 THOC4	Mus musculus (Mouse)	255
Q8BGE7	Q8BGE7	reviewed	TRIM6_MOUSE	Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM6)	Trim6	Mus musculus (Mouse)	488
Q1PSW8	Q1PSW8	reviewed	LIN41_MOUSE	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (mLin41) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	Trim71 Gm1127 Lin41	Mus musculus (Mouse)	855
Q9ER69	Q9ER69	reviewed	FL2D_MOUSE	Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (WT1-associated protein) (Wilms tumor 1-associating protein)	Wtap	Mus musculus (Mouse)	396
E9Q5K9	E9Q5K9	reviewed	YTDC1_MOUSE	YTH domain-containing protein 1	Ythdc1 Kiaa1966	Mus musculus (Mouse)	736
Q96KR1	Q96KR1	reviewed	ZFR_HUMAN	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR	Homo sapiens (Human)	1074
Q03518	Q03518	reviewed	TAP1_HUMAN	Antigen peptide transporter 1 (APT1) (EC 7.4.2.14) (ATP-binding cassette sub-family B member 2) (Peptide supply factor 1) (Peptide transporter PSF1) (PSF-1) (Peptide transporter TAP1) (Peptide transporter involved in antigen processing 1) (Really interesting new gene 4 protein) (RING4)	TAP1 ABCB2 PSF1 RING4 Y3	Homo sapiens (Human)	748
Q13070	Q13070	reviewed	GAGE6_HUMAN	G antigen 6 (GAGE-6) (Cancer/testis antigen 4.6) (CT4.6)	GAGE6	Homo sapiens (Human)	117
P20263	P20263	reviewed	PO5F1_MOUSE	POU domain, class 5, transcription factor 1 (NF-A3) (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	Pou5f1 Oct-3 Oct-4 Otf-3 Otf3	Mus musculus (Mouse)	352
B3FTN5	B3FTN5	unreviewed	B3FTN5_HUMAN	Truncated insulin-like 2 growth factor 2-binding protein 2	IGF2BP2	Homo sapiens (Human)	55
P49918	P49918	reviewed	CDN1C_HUMAN	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2)	CDKN1C KIP2	Homo sapiens (Human)	316
P16104	P16104	reviewed	H2AX_HUMAN	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX H2AFX	Homo sapiens (Human)	143
P38936	P38936	reviewed	CDN1A_HUMAN	Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21)	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)	164
P10415	P10415	reviewed	BCL2_HUMAN	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
Q9BXH1	Q9BXH1	reviewed	BBC3_HUMAN	Bcl-2-binding component 3, isoforms 1/2 (JFY-1) (p53 up-regulated modulator of apoptosis)	BBC3 PUMA	Homo sapiens (Human)	193
Q07812	Q07812	reviewed	BAX_HUMAN	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	Homo sapiens (Human)	192
D3YPQ1	D3YPQ1	unreviewed	D3YPQ1_HUMAN	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR	Homo sapiens (Human)	920
Q9HC16	Q9HC16	reviewed	ABC3G_HUMAN	DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.38) (APOBEC-related cytidine deaminase) (APOBEC-related protein) (ARCD) (APOBEC-related protein 9) (ARP-9) (CEM-15) (CEM15) (Deoxycytidine deaminase) (A3G)	APOBEC3G MDS019	Homo sapiens (Human)	384
P42224	P42224	reviewed	STAT1_HUMAN	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750
P32899	P32899	reviewed	IMP3_YEAST	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (Interacting with MPP10 protein 3)	IMP3 YHR148W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	183
E9PR99	E9PR99	unreviewed	E9PR99_HUMAN	Inner mitochondrial membrane peptidase subunit 1	IMMP1L	Homo sapiens (Human)	94
Q9H171	Q9H171	reviewed	ZBP1_HUMAN	Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors) (DAI) (Tumor stroma and activated macrophage protein DLM-1)	ZBP1 C20orf183 DLM1	Homo sapiens (Human)	429
P80370	P80370	reviewed	DLK1_HUMAN	Protein delta homolog 1 (DLK-1) (pG2) [Cleaved into: Fetal antigen 1 (FA1)]	DLK1 DLK	Homo sapiens (Human)	383
Q14790	Q14790	reviewed	CASP8_HUMAN	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
P42574	P42574	reviewed	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
Q5QP59	Q5QP59	unreviewed	Q5QP59_HUMAN	Bcl-2-like protein 1	BCL2L1	Homo sapiens (Human)	48
Q16665	Q16665	reviewed	HIF1A_HUMAN	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8)	HIF1A BHLHE78 MOP1 PASD8	Homo sapiens (Human)	826
D5KL86	D5KL86	unreviewed	D5KL86_HUMAN	Truncated p53	TP53	Homo sapiens (Human)	9
Q96KQ7	Q96KQ7	reviewed	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	Homo sapiens (Human)	1210
P04198	P04198	reviewed	MYCN_HUMAN	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	MYCN BHLHE37 NMYC	Homo sapiens (Human)	464
Q9BXM7	Q9BXM7	reviewed	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581
P16220	P16220	reviewed	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	CREB1	Homo sapiens (Human)	327
P31749	P31749	reviewed	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480
Q92597	Q92597	reviewed	NDRG1_HUMAN	Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42)	NDRG1 CAP43 DRG1 RTP	Homo sapiens (Human)	394
P07288	P07288	reviewed	KLK3_HUMAN	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	KLK3 APS	Homo sapiens (Human)	261
P55075	P55075	reviewed	FGF8_HUMAN	Fibroblast growth factor 8 (FGF-8) (Androgen-induced growth factor) (AIGF) (Heparin-binding growth factor 8) (HBGF-8)	FGF8 AIGF	Homo sapiens (Human)	233
P38398	P38398	reviewed	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
P42345	P42345	reviewed	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
P23511	P23511	reviewed	NFYA_HUMAN	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	NFYA	Homo sapiens (Human)	347
A0N9R9	A0N9R9	unreviewed	A0N9R9_HUMAN	Insulin-like growth factor type II receptor	IGF2R	Homo sapiens (Human)	18
P15531	P15531	reviewed	NDKA_HUMAN	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	Homo sapiens (Human)	152
O76093	O76093	reviewed	FGF18_HUMAN	Fibroblast growth factor 18 (FGF-18) (zFGF5)	FGF18 UNQ420/PRO856	Homo sapiens (Human)	207
P03950	P03950	reviewed	ANGI_HUMAN	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	Homo sapiens (Human)	147
P78346	P78346	reviewed	RPP30_HUMAN	Ribonuclease P protein subunit p30 (RNaseP protein p30) (RNase P subunit 2)	RPP30 RNASEP2	Homo sapiens (Human)	268
P01106	P01106	reviewed	MYC_HUMAN	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	454
Q00987	Q00987	reviewed	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	MDM2	Homo sapiens (Human)	491
Q8TEY5	Q8TEY5	reviewed	CR3L4_HUMAN	Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]	CREB3L4 AIBZIP CREB4 JAL	Homo sapiens (Human)	395
Q8CJG0	Q8CJG0	reviewed	AGO2_MOUSE	Protein argonaute-2 (Argonaute2) (mAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Piwi/argonaute family protein meIF2C2) (Protein slicer)	Ago2 Eif2c2 Kiaa4215	Mus musculus (Mouse)	860
O75530	O75530	reviewed	EED_HUMAN	Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1)	EED	Homo sapiens (Human)	441
P48431	P48431	reviewed	SOX2_HUMAN	Transcription factor SOX-2	SOX2	Homo sapiens (Human)	317
O95096	O95096	reviewed	NKX22_HUMAN	Homeobox protein Nkx-2.2 (Homeobox protein NK-2 homolog B)	NKX2-2 NKX2.2 NKX2B	Homo sapiens (Human)	273
O96828	O96828	unreviewed	O96828_DROME	EG:EG0003.2 protein (Fbgn0014870;psi protein)	Psi ec EG:EG0003.2 CG8912	Drosophila melanogaster (Fruit fly)	806
P43332	P43332	reviewed	SNRPA_DROME	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A) (Sex determination protein snf)	snf D25 fs(1)1621 liz CG4528	Drosophila melanogaster (Fruit fly)	216
Q32KG2	Q32KG2	unreviewed	Q32KG2_DROME	Cyclin-H	CycH	Drosophila melanogaster (Fruit fly)	323
Q9V3W7	Q9V3W7	unreviewed	Q9V3W7_DROME	LD40489p (SR family splicing factor) (SR family splicing factor SF2) (Splicing factor 2, isoform A) (Splicing factor 2, isoform B)	SF2 154911_at ASF ASF/SF2 cg6987 dASF Dmel\CG6987 dmSF2/p28 dSF2/ASF dSRp30 p28/SF2 SRp30 SRSF1 CG6987 Dmel_CG6987	Drosophila melanogaster (Fruit fly)	255
U5IQE4	U5IQE4	unreviewed	U5IQE4_HUMAN	MHC class II antigen	HLA-DQB1	Homo sapiens (Human)	89
P19447	P19447	reviewed	ERCC3_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	ERCC3 XPB XPBC	Homo sapiens (Human)	782
Q7L014	Q7L014	reviewed	DDX46_HUMAN	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	Homo sapiens (Human)	1031
G9HW14	G9HW14	unreviewed	G9HW14_HUMAN	MHC class II antigen	HLA-DRB1	Homo sapiens (Human)	89
Q9NVP2	Q9NVP2	reviewed	ASF1B_HUMAN	Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II)	ASF1B	Homo sapiens (Human)	202
J3KTL2	J3KTL2	unreviewed	J3KTL2_HUMAN	Serine/arginine-rich splicing factor 1 (Splicing factor, arginine/serine-rich 1)	SRSF1 SFRS1 hCG_1774411	Homo sapiens (Human)	253
P32605	P32605	reviewed	RU1A_YEAST	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A) (Mutant U1 die protein 1)	MUD1 YBR119W YBR0915	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298
P33203	P33203	reviewed	PRP40_YEAST	Pre-mRNA-processing protein PRP40	PRP40 YKL012W YKL165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583
P39682	P39682	reviewed	PRP39_YEAST	Pre-mRNA-processing factor 39	PRP39 YML046W YM9827.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	629
P53207	P53207	reviewed	SNU71_YEAST	U1 small nuclear ribonucleoprotein component SNU71	SNU71 YGR013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620
Q00539	Q00539	reviewed	NAM8_YEAST	Protein NAM8 (Nuclear accommodation of mitochondria protein 8) (U1 snRNP component NAM8)	NAM8 MRE2 MUD15 YHR086W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
Q03776	Q03776	reviewed	PRP42_YEAST	U1 small nuclear ribonucleoprotein component PRP42 (U1 snRNP protein PRP42) (65 kDa snRNP protein) (Pre-mRNA-processing factor 42)	PRP42 MUD16 SNU65 YDR235W YD8419.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	544
Q03782	Q03782	reviewed	SNU56_YEAST	56 kDa U1 small nuclear ribonucleoprotein component	SNU56 MUD10 YDR240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492
Q05900	Q05900	reviewed	RU1C_YEAST	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	YHC1 YLR298C L8003.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	231
Q07508	Q07508	reviewed	LUC7_YEAST	Protein LUC7	LUC7 EPE1 EXM2 YDL087C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
Q9V4Q8	Q9V4Q8	reviewed	RU2A_DROME	Probable U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	U2A CG1406	Drosophila melanogaster (Fruit fly)	265
O08848	O08848	reviewed	RO60_MOUSE	RNA-binding protein Ro60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (TROVE domain family member 2)	RO60 Ssa2 Trove2	Mus musculus (Mouse)	538
Q8K4Z5	Q8K4Z5	reviewed	SF3A1_MOUSE	Splicing factor 3A subunit 1 (SF3a120)	Sf3a1	Mus musculus (Mouse)	791
O95319	O95319	reviewed	CELF2_HUMAN	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (hNAPOR) (RNA-binding protein BRUNOL-3)	CELF2 BRUNOL3 CUGBP2 ETR3 NAPOR	Homo sapiens (Human)	508
P19736	P19736	reviewed	PRP9_YEAST	Pre-mRNA-splicing factor PRP9	PRP9 YDL030W D2773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530
P21372	P21372	reviewed	PRP5_YEAST	Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13)	PRP5 RNA5 YBR237W YBR1603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	849
P32524	P32524	reviewed	PRP21_YEAST	Pre-mRNA-splicing factor PRP21	PRP21 SPP91 YJL203W J0322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	280
P40565	P40565	reviewed	IST3_YEAST	U2 snRNP component IST3 (Increased sodium tolerance protein 3) (U2 snRNP protein SNU17)	IST3 SNU17 YIR005W YIB5W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148
P49955	P49955	reviewed	SF3B1_YEAST	U2 snRNP component HSH155	HSH155 YMR288W YM8021.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	971
Q02554	Q02554	reviewed	CUS1_YEAST	Cold sensitive U2 snRNA suppressor 1	CUS1 YMR240C YM9408.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436
Q04693	Q04693	reviewed	RSE1_YEAST	Pre-mRNA-splicing factor RSE1 (RNA splicing and ER to Golgi transport factor 1) (Spliceosome-associated protein 130)	RSE1 SAP130 YML049C YM9827.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1361
Q07350	Q07350	reviewed	PRP11_YEAST	Pre-mRNA-splicing factor PRP11	PRP11 PRP10 RNA11 YDL043C D2711	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266
